1,1.0
2,1.0
4,1.0
12,1.0
13,1.0
29,1.0
31,1.0
32,1.0
33,1.0
40,1.0
42,1.0
43,1.0
46,1.0
47,1.0
48,1.0
50,1.0
54,1.0
58,1.0
63,1.0
65,1.0
67,1.0
69,1.0
72,1.0
73,1.0
75,1.0
76,1.0
79,1.0
80,1.0
81,1.0
84,1.0
86,1.0
87,1.0
88,1.0
89,1.0
95,1.0
96,1.0
189,1.0
201,1.0
202,1.0
210,1.0
211,1.0
212,1.0
214,1.0
217,1.0
220,1.0
221,1.0
222,1.0
223,1.0
272,1.0
274,1.0
278,1.0
279,1.0
281,1.0
287,1.0
291,1.0
292,1.0
293,1.0
295,1.0
296,1.0
348,1.0
349,1.0
358,1.0
359,1.0
361,1.0
362,1.0
364,1.0
365,1.0
366,1.0
367,1.0
368,1.0
369,1.0
371,1.0
418,1.0
423,1.0
424,1.0
434,1.0
437,1.0
438,1.0
439,1.0
440,1.0
441,1.0
442,1.0
450,1.0
452,1.0
453,1.0
454,1.0
455,1.0
456,1.0
457,1.0
462,1.0
463,1.0
466,1.0
467,1.0
468,1.0
469,1.0
470,1.0
480,1.0
483,1.0
484,1.0
577,1.0
586,1.0
596,1.0
597,1.0
599,1.0
600,1.0
601,1.0
602,1.0
603,1.0
614,1.0
616,1.0
617,1.0
675,1.0
680,1.0
688,1.0
690,1.0
692,1.0
696,1.0
698,1.0
699,1.0
705,1.0
708,1.0
709,1.0
710,1.0
711,1.0
712,1.0
713,1.0
715,1.0
722,1.0
724,1.0
725,1.0
726,1.0
728,1.0
730,1.0
732,1.0
733,1.0
738,1.0
739,1.0
740,1.0
741,1.0
748,1.0
749,1.0
750,1.0
752,1.0
753,1.0
754,1.0
756,1.0
772,1.0
773,1.0
774,1.0
776,1.0
777,1.0
778,1.0
812,1.0
813,1.0
816,1.0
817,1.0
818,1.0
825,1.0
826,1.0
827,1.0
830,1.0
845,1.0
862,1.0
868,1.0
871,1.0
872,1.0
873,1.0
875,1.0
917,1.0
918,1.0
920,1.0
939,1.0
943,1.0
944,1.0
945,1.0
946,1.0
947,1.0
949,1.0
951,1.0
952,1.0
953,1.0
954,1.0
966,1.0
967,1.0
982,1.0
991,1.0
996,1.0
997,1.0
1016,1.0
1026,1.0
1027,1.0
1182,1.0
1190,1.0
1192,1.0
1203,1.0
1204,1.0
1205,1.0
1206,1.0
1207,1.0
1208,1.0
1212,1.0
